x,y,value
0,172,115.55744
0,173,115.1985
0,174,115.1985
0,175,111.64649999999999
0,176,115.55744
0,177,111.64649999999999
0,178,115.91706
0,179,116.63834
0,180,115.55744
5,0,49.11066000000001
5,1,46.98744000000001
5,2,46.04954000000001
5,3,49.30776
5,4,33.35514000000001
5,5,42.987840000000006
5,6,47.177060000000004
5,7,47.177060000000004
5,8,47.36736
5,9,47.177060000000004
5,10,23.063360000000017
5,11,22.375140000000002
5,12,21.374640000000014
5,13,40.779140000000005
5,14,34.15626000000001
5,15,31.218240000000016
5,16,26.33306000000001
5,17,25.168259999999997
5,18,23.121060000000014
5,19,22.57466000000001
5,20,24.346559999999997
5,21,72.45176000000001
5,22,102.06266
5,23,93.64074000000001
5,24,77.33984
5,25,84.20000000000002
5,26,85.97624
5,27,114.12576
5,28,115.55744
5,29,117.0
5,30,115.55744
5,31,115.1985
5,32,114.48266
5,33,116.63834
5,34,115.55744
5,35,91.14186000000001
5,36,115.55744
5,37,115.55744
5,38,116.27736
5,39,115.1985
5,40,116.27736
5,41,117.0
5,42,114.84024000000001
5,43,115.91706
5,44,116.27736
5,45,116.63834
5,46,115.55744
5,47,115.91706
5,48,115.55744
5,49,114.12576
5,50,115.1985
5,51,111.64649999999999
5,52,115.91706
5,53,117.0
5,54,115.1985
5,55,116.27736
5,56,115.55744
5,57,115.55744
5,58,115.1985
5,59,21.374640000000014
5,60,21.611940000000004
5,61,22.57466000000001
5,62,23.121060000000014
5,63,24.78456000000002
5,64,23.543999999999997
5,65,20.735039999999998
5,66,20.667840000000012
5,67,21.06906000000002
5,68,26.600000000000023
5,69,28.536
5,70,30.280640000000005
5,71,29.16984
5,72,28.0265
5,73,28.22826000000002
5,74,30.51096000000002
5,75,31.70336000000001
5,76,33.224000000000004
5,77,34.15626000000001
5,78,34.15626000000001
5,79,34.15626000000001
5,80,33.886500000000005
5,81,34.42874
5,82,34.981860000000005
5,83,35.26250000000001
5,84,35.26250000000001
5,85,34.29216
5,86,30.39546
5,87,33.224000000000004
5,88,33.48696000000001
5,89,36.55904
5,90,38.06424000000001
5,91,40.44954
5,92,40.779140000000005
5,93,40.28576000000001
5,94,40.44954
5,95,39.47706000000001
5,96,38.52906000000001
5,97,36.55904
5,98,30.39546
5,99,33.752640000000014
5,100,33.619460000000004
5,101,32.578500000000005
5,102,33.619460000000004
5,103,35.26250000000001
5,104,34.56600000000001
5,105,30.97976
5,106,28.95584000000001
5,107,26.158500000000018
5,108,24.70986
5,109,23.41976000000001
5,110,23.670960000000022
5,111,28.849860000000014
5,112,27.534
5,113,24.13674000000001
5,114,24.13674000000001
5,115,22.375140000000002
5,116,22.6785
5,117,21.0
5,118,20.880240000000015
5,119,20.758640000000028
5,120,20.71416000000002
5,121,20.664000000000016
5,122,20.65386000000001
5,123,22.42400000000002
5,124,24.20600000000001
5,125,21.439040000000006
5,126,21.506160000000023
5,127,21.506160000000023
5,128,21.611940000000004
5,129,22.186500000000024
5,130,39.79850000000001
5,131,111.29504
5,132,100.73706
5,133,88.99104
5,134,84.78936
5,135,67.27896
5,136,60.261540000000004
5,137,52.13856
5,138,48.718500000000006
5,139,45.679140000000004
5,140,43.51386000000001
5,141,42.64056000000001
5,142,44.76504
5,143,45.494960000000006
5,144,45.86400000000001
5,145,46.23576
